neighbourhood_cleansed,avg_review
Longwood Medical Area,4.95
Leather District,4.86
Charlestown,4.8536363636363635
West Roxbury,4.826666666666666
Hyde Park,4.751111111111111
Jamaica Plain,4.747455621301775
Roxbury,4.736716417910448
East Boston,4.707898550724638
Allston,4.702542372881356
North End,4.697213114754098
Roslindale,4.696111111111111
West End,4.6921739130434785
Brighton,4.67592
Mattapan,4.6628125
Mission Hill,4.661388888888889
Dorchester,4.657832817337462
Chinatown,4.632272727272727
Back Bay,4.622733333333334
Downtown,4.5633177570093455
Beacon Hill,4.558365384615384
South Boston,4.555
Bay Village,4.554444444444444
South End,4.53063492063492
Fenway,4.527228915662651
South Boston Waterfront,4.397647058823529
